seed,d1_delta,d2_delta
0,2.934116054063411,-1.6174413797871896
1,2.9272363449776595,-1.11068306317161
2,2.8990064442892436,-0.9234538370043666
3,2.5002035482231957,-1.8392288308645863
4,1.4989257659349615,-2.8438827428015188
5,2.083050378054576,-2.7316957160627293
6,1.7523042643449411,-3.2646402276423814
7,1.3429139593596702,-3.2686623137588793
8,1.8898426270753355,-2.251592499617866
9,2.8487572899970246,-2.2184348153361615
10,1.636901187269185,-3.0711109113440607
11,2.0556665053366654,-2.739250036829308
12,1.9493964991892891,-3.1559784600619363
13,2.577533584008755,-2.2575330732994923
14,2.7226024091406504,-1.787319652920929
15,1.951775863775909,-2.899432725939496
16,1.341648536745721,-3.787526700407944
17,1.0656851310495714,-3.31839680139341
18,2.330122544859991,-2.5896570595909267
19,2.20348458668264,-1.7962612882181688
20,1.41761581766389,-3.2450446889596822
21,1.449436761559923,-3.3023919707130887
22,2.7784882346655557,-1.4764815457414429
23,2.63492682132952,-1.432356297180677
24,1.4454112459071897,-3.0349532259172065
25,1.7807361904206367,-3.1054030571451428
26,1.944266791528685,-2.568707153978531
27,2.071853247659744,-3.379632292803457
28,3.0617499067917464,-2.1613434459318555
29,2.22803188620742,-2.5697190042148463
