shape,seed,stat,ai
uniform,0,mean,0.5357142857142858
uniform,0,variance,0.2031249999999998
uniform,0,kurtosis,0.021551724137931088
uniform,1,mean,0.6688481675392669
uniform,1,variance,0.2200704225352112
uniform,1,kurtosis,-0.06989247311828001
uniform,2,mean,0.5660714285714282
uniform,2,variance,-0.08041958041958037
uniform,2,kurtosis,-0.032407407407407544
uniform,3,mean,0.37212643678160906
uniform,3,variance,0.09351145038167942
uniform,3,kurtosis,-0.14159292035398244
uniform,4,mean,0.2266949152542374
uniform,4,variance,0.001533742331288311
uniform,4,kurtosis,-0.10465116279069768
uniform,5,mean,0.7013157894736844
uniform,5,variance,-0.18881118881118875
uniform,5,kurtosis,0.006147540983606427
uniform,6,mean,0.43435754189944115
uniform,6,variance,0.035971223021582614
uniform,6,kurtosis,0.3083832335329341
uniform,7,mean,0.5106060606060607
uniform,7,variance,0.03723404255319132
uniform,7,kurtosis,0.0053191489361701
uniform,8,mean,0.6712499999999999
uniform,8,variance,0.031007751937984523
uniform,8,kurtosis,0.043352601156069454
uniform,9,mean,0.43459302325581395
uniform,9,variance,0.0982658959537572
uniform,9,kurtosis,-0.11797752808988761
uniform,10,mean,0.5378378378378379
uniform,10,variance,-0.05151515151515149
uniform,10,kurtosis,0.02336448598130834
uniform,11,mean,0.716374269005848
uniform,11,variance,0.1431159420289857
uniform,11,kurtosis,-0.035472972972972826
uniform,12,mean,0.44999999999999996
uniform,12,variance,0.28633720930232537
uniform,12,kurtosis,0.006329113924050499
uniform,13,mean,0.52734375
uniform,13,variance,0.0601503759398497
uniform,13,kurtosis,0.21955128205128221
uniform,14,mean,0.4663742690058479
uniform,14,variance,-0.20645161290322572
uniform,14,kurtosis,0.32407407407407407
uniform,15,mean,0.48163841807909596
uniform,15,variance,-0.017241379310344765
uniform,15,kurtosis,0.013986013986013993
uniform,16,mean,0.4044117647058823
uniform,16,variance,0.3692660550458716
uniform,16,kurtosis,-0.28186274509803916
uniform,17,mean,0.510115606936416
uniform,17,variance,0.16923076923076907
uniform,17,kurtosis,0.011824324324324375
uniform,18,mean,0.580508474576271
uniform,18,variance,0.07862903225806464
uniform,18,kurtosis,-0.03662420382165613
uniform,19,mean,0.4137931034482756
uniform,19,variance,0.3476821192052982
uniform,19,kurtosis,-0.14915966386554622
uniform,20,mean,0.4519867549668874
uniform,20,variance,0.03991596638655489
uniform,20,kurtosis,-0.2831125827814569
uniform,21,mean,0.47432432432432425
uniform,21,variance,-0.10304054054054063
uniform,21,kurtosis,0.1292134831460672
uniform,22,mean,0.483783783783784
uniform,22,variance,-0.3696581196581196
uniform,22,kurtosis,-0.03636363636363639
uniform,23,mean,0.5402298850574716
uniform,23,variance,-0.061320754716981105
uniform,23,kurtosis,0.13942307692307684
uniform,24,mean,0.3687845303867403
uniform,24,variance,0.07320441988950294
uniform,24,kurtosis,-0.015432098765432042
uniform,25,mean,0.2572254335260115
uniform,25,variance,-0.1625766871165643
uniform,25,kurtosis,-0.07269503546099293
uniform,26,mean,0.44047619047619047
uniform,26,variance,-0.13695652173913048
uniform,26,kurtosis,0.13664596273291907
uniform,27,mean,0.5941176470588233
uniform,27,variance,-0.020370370370370264
uniform,27,kurtosis,-0.14719626168224273
uniform,28,mean,0.4211956521739131
uniform,28,variance,-0.05446927374301684
uniform,28,kurtosis,-0.22619047619047628
uniform,29,mean,0.7945026178010471
uniform,29,variance,0.0647590361445783
uniform,29,kurtosis,0.10106382978723408
uniform,30,mean,0.5787500000000001
uniform,30,variance,-0.14912280701754377
uniform,30,kurtosis,0.06891025641025636
uniform,31,mean,0.6250000000000002
uniform,31,variance,0.16058394160583955
uniform,31,kurtosis,0.12128712871287137
uniform,32,mean,0.6861979166666665
uniform,32,variance,0.38409090909090937
uniform,32,kurtosis,0.10624999999999998
uniform,33,mean,0.43999999999999995
uniform,33,variance,0.1692546583850931
uniform,33,kurtosis,-0.02163461538461535
uniform,34,mean,0.5440140845070425
uniform,34,variance,0.043478260869565064
