rule,condition,seed,stat,ai
expectile,clean,0,mean,0.9275
expectile,clean,0,variance,0.09868421052631579
expectile,clean,0,kurtosis,-0.010582010582010594
expectile,clean,1,mean,0.7749999999999999
expectile,clean,1,variance,0.06125000000000003
expectile,clean,1,kurtosis,0.07988165680473361
expectile,clean,2,mean,0.7117346938775513
expectile,clean,2,variance,0.13764044943820233
expectile,clean,2,kurtosis,-0.10416666666666652
expectile,clean,3,mean,0.8801020408163266
expectile,clean,3,variance,0.10252808988764052
expectile,clean,3,kurtosis,0.0048076923076922065
expectile,clean,4,mean,0.6466836734693878
expectile,clean,4,variance,0.09090909090909073
expectile,clean,4,kurtosis,-0.18676470588235286
expectile,clean,5,mean,0.8932160804020101
expectile,clean,5,variance,0.1002824858757063
expectile,clean,5,kurtosis,0.07936507936507933
expectile,clean,6,mean,0.8574999999999999
expectile,clean,6,variance,-0.11325966850828732
expectile,clean,6,kurtosis,-0.143041237113402
expectile,clean,7,mean,0.7461734693877553
expectile,clean,7,variance,0.004999999999999893
expectile,clean,7,kurtosis,-0.060483870967741826
expectile,clean,8,mean,0.8387500000000001
expectile,clean,8,variance,-0.025684931506849376
expectile,clean,8,kurtosis,0.013749999999999929
expectile,clean,9,mean,0.79
expectile,clean,9,variance,-0.041223404255319215
expectile,clean,9,kurtosis,-0.12709497206703912
expectile,clean,10,mean,0.8462500000000002
expectile,clean,10,variance,-0.11250000000000004
expectile,clean,10,kurtosis,-0.16493055555555544
expectile,clean,11,mean,0.8800000000000001
expectile,clean,11,variance,0.05999999999999999
expectile,clean,11,kurtosis,0.03020134228187915
expectile,clean,12,mean,0.8237500000000002
expectile,clean,12,variance,-0.003886010362694218
expectile,clean,12,kurtosis,0.05874316939890705
expectile,clean,13,mean,0.8387499999999999
expectile,clean,13,variance,0.2612359550561799
expectile,clean,13,kurtosis,0.1363636363636363
expectile,clean,14,mean,0.7687499999999998
expectile,clean,14,variance,-0.2700534759358289
expectile,clean,14,kurtosis,0.38829787234042545
expectile,clean,15,mean,0.8062500000000001
expectile,clean,15,variance,0.12367021276595765
expectile,clean,15,kurtosis,-0.08231707317073172
expectile,clean,16,mean,0.78
expectile,clean,16,variance,0.16713483146067407
expectile,clean,16,kurtosis,-0.036337209302325583
expectile,clean,17,mean,0.8250000000000002
expectile,clean,17,variance,0.11592178770949721
expectile,clean,17,kurtosis,-0.04076086956521737
expectile,clean,18,mean,0.61625
expectile,clean,18,variance,-0.02058823529411773
expectile,clean,18,kurtosis,0.15163934426229503
expectile,clean,19,mean,0.7324999999999999
expectile,clean,19,variance,0.18012422360248445
expectile,clean,19,kurtosis,-0.08068783068783074
expectile,clean,20,mean,0.84125
expectile,clean,20,variance,0.13994565217391314
expectile,clean,20,kurtosis,0.08031088082901545
expectile,clean,21,mean,0.91875
expectile,clean,21,variance,0.033068783068783074
expectile,clean,21,kurtosis,0.07516339869281029
expectile,clean,22,mean,0.7187500000000002
expectile,clean,22,variance,-0.132867132867133
expectile,clean,22,kurtosis,-0.06432748538011704
expectile,clean,23,mean,0.729591836734694
expectile,clean,23,variance,0.01794871794871779
expectile,clean,23,kurtosis,-0.09342105263157895
expectile,clean,24,mean,0.6699999999999999
expectile,clean,24,variance,0.03070175438596478
expectile,clean,24,kurtosis,0.048941798941799085
expectile,clean,25,mean,0.6912499999999999
expectile,clean,25,variance,-0.17245989304812834
expectile,clean,25,kurtosis,0.009615384615384652
expectile,clean,26,mean,0.8662500000000002
expectile,clean,26,variance,-0.07638888888888899
expectile,clean,26,kurtosis,0.0028248587570620857
expectile,clean,27,mean,0.7674731182795697
expectile,clean,27,variance,-0.06557377049180335
expectile,clean,27,kurtosis,-0.19767441860465118
expectile,clean,28,mean,0.7737499999999999
expectile,clean,28,variance,-0.06250000000000004
expectile,clean,28,kurtosis,-0.15688775510204087
expectile,clean,29,mean,0.9175
expectile,clean,29,variance,0.1625000000000001
expectile,clean,29,kurtosis,0.04420731707317061
expectile,noisy_learn,0,mean,0.96
expectile,noisy_learn,0,variance,0.03947368421052641
expectile,noisy_learn,0,kurtosis,-0.04654255319148932
expectile,noisy_learn,1,mean,0.8275000000000001
expectile,noisy_learn,1,variance,-0.13530927835051557
expectile,noisy_learn,1,kurtosis,-0.11348684210526304
expectile,noisy_learn,2,mean,0.6628787878787881
expectile,noisy_learn,2,variance,0.14197530864197533
expectile,noisy_learn,2,kurtosis,-0.16666666666666657
expectile,noisy_learn,3,mean,0.8214285714285716
expectile,noisy_learn,3,variance,0.05056179775280891
expectile,noisy_learn,3,kurtosis,-0.05865921787709496
expectile,noisy_learn,4,mean,0.6875000000000001
expectile,noisy_learn,4,variance,0.23882681564245822
expectile,noisy_learn,4,kurtosis,-0.16473988439306358
expectile,noisy_learn,5,mean,0.905
expectile,noisy_learn,5,variance,0.1067415730337081
expectile,noisy_learn,5,kurtosis,0.026881720430107427
expectile,noisy_learn,6,mean,0.9199999999999999
expectile,noisy_learn,6,variance,-0.09116022099447516
expectile,noisy_learn,6,kurtosis,-0.08118556701030916
expectile,noisy_learn,7,mean,0.8124999999999998
expectile,noisy_learn,7,variance,0.08374999999999999
expectile,noisy_learn,7,kurtosis,-0.0013440860215053474
expectile,noisy_learn,8,mean,0.9612499999999999
expectile,noisy_learn,8,variance,0.07119205298013244
expectile,noisy_learn,8,kurtosis,0.1087499999999999
expectile,noisy_learn,9,mean,0.7974999999999999
expectile,noisy_learn,9,variance,-0.048177083333333225
expectile,noisy_learn,9,kurtosis,-0.10863095238095227
expectile,noisy_learn,10,mean,0.8675000000000002
expectile,noisy_learn,10,variance,-0.14625
expectile,noisy_learn,10,kurtosis,-0.19277108433734955
expectile,noisy_learn,11,mean,0.9124999999999999
expectile,noisy_learn,11,variance,0.015536723163841724
expectile,noisy_learn,11,kurtosis,-0.027486910994764274
expectile,noisy_learn,12,mean,0.8012500000000002
expectile,noisy_learn,12,variance,-0.013089005235602047
expectile,noisy_learn,12,kurtosis,0.0511049723756905
expectile,noisy_learn,13,mean,0.7887500000000001
expectile,noisy_learn,13,variance,0.09852941176470587
expectile,noisy_learn,13,kurtosis,0.19047619047619044
expectile,noisy_learn,14,mean,0.8312500000000003
expectile,noisy_learn,14,variance,-0.28867403314917134
expectile,noisy_learn,14,kurtosis,0.27393617021276595
expectile,noisy_learn,15,mean,0.8775
expectile,noisy_learn,15,variance,0.09574468085106393
expectile,noisy_learn,15,kurtosis,-0.09803921568627458
expectile,noisy_learn,16,mean,0.73875
expectile,noisy_learn,16,variance,0.17556179775280897
expectile,noisy_learn,16,kurtosis,-0.17919075144508678
expectile,noisy_learn,17,mean,0.835
expectile,noisy_learn,17,variance,0.09615384615384609
expectile,noisy_learn,17,kurtosis,0.060439560439560634
expectile,noisy_learn,18,mean,0.5675000000000001
expectile,noisy_learn,18,variance,0.1441717791411045
expectile,noisy_learn,18,kurtosis,0.06382978723404262
expectile,noisy_learn,19,mean,0.8058375634517763
expectile,noisy_learn,19,variance,0.138719512195122
expectile,noisy_learn,19,kurtosis,-0.13815789473684198
expectile,noisy_learn,20,mean,0.8612500000000001
expectile,noisy_learn,20,variance,0.13524590163934433
expectile,noisy_learn,20,kurtosis,0.18625000000000003
expectile,noisy_learn,21,mean,0.8675000000000002
expectile,noisy_learn,21,variance,-0.07275132275132286
expectile,noisy_learn,21,kurtosis,0.045031055900620974
expectile,noisy_learn,22,mean,0.70875
expectile,noisy_learn,22,variance,-0.19966442953020144
expectile,noisy_learn,22,kurtosis,-0.09142857142857139
expectile,noisy_learn,23,mean,0.8837499999999998
expectile,noisy_learn,23,variance,-0.039835164835164714
expectile,noisy_learn,23,kurtosis,-0.07894736842105259
expectile,noisy_learn,24,mean,0.66875
expectile,noisy_learn,24,variance,-0.2585227272727273
expectile,noisy_learn,24,kurtosis,0.08549222797927461
expectile,noisy_learn,25,mean,0.7925
expectile,noisy_learn,25,variance,-0.21875000000000006
expectile,noisy_learn,25,kurtosis,0.07062146892655369
expectile,noisy_learn,26,mean,0.8800000000000001
expectile,noisy_learn,26,variance,-0.11621621621621625
expectile,noisy_learn,26,kurtosis,0.029661016949152404
expectile,noisy_learn,27,mean,0.7890624999999997
expectile,noisy_learn,27,variance,-0.08333333333333329
expectile,noisy_learn,27,kurtosis,-0.13352272727272732
expectile,noisy_learn,28,mean,0.7675000000000001
expectile,noisy_learn,28,variance,-0.0026041666666666106
expectile,noisy_learn,28,kurtosis,-0.012500000000000067
expectile,noisy_learn,29,mean,0.8912500000000003
expectile,noisy_learn,29,variance,0.20250000000000012
expectile,noisy_learn,29,kurtosis,0.02941176470588231
expectile,noisy_both,0,mean,0.5817610062893084
expectile,noisy_both,0,variance,0.15979381443298998
expectile,noisy_both,0,kurtosis,0.02694610778443109
expectile,noisy_both,1,mean,0.6494845360824741
expectile,noisy_both,1,variance,0.3055555555555556
