rule,learn_noise_sd,stat,seed,ai
expectile,0.0,mean,0,0.9275
expectile,0.0,variance,0,0.09868421052631579
expectile,0.0,mean,1,0.7749999999999999
expectile,0.0,variance,1,0.06125000000000003
expectile,0.0,mean,2,0.7117346938775513
expectile,0.0,variance,2,0.13764044943820233
expectile,0.0,mean,3,0.8801020408163266
expectile,0.0,variance,3,0.10252808988764052
expectile,0.0,mean,4,0.6466836734693878
expectile,0.0,variance,4,0.09090909090909073
expectile,0.0,mean,5,0.8932160804020101
expectile,0.0,variance,5,0.1002824858757063
expectile,0.0,mean,6,0.8574999999999999
expectile,0.0,variance,6,-0.11325966850828732
expectile,0.0,mean,7,0.7461734693877553
expectile,0.0,variance,7,0.004999999999999893
expectile,0.0,mean,8,0.8387500000000001
expectile,0.0,variance,8,-0.025684931506849376
expectile,0.0,mean,9,0.79
expectile,0.0,variance,9,-0.041223404255319215
expectile,0.0,mean,10,0.8462500000000002
expectile,0.0,variance,10,-0.11250000000000004
expectile,0.0,mean,11,0.8800000000000001
expectile,0.0,variance,11,0.05999999999999999
expectile,0.0,mean,12,0.8237500000000002
expectile,0.0,variance,12,-0.003886010362694218
expectile,0.0,mean,13,0.8387499999999999
expectile,0.0,variance,13,0.2612359550561799
expectile,0.0,mean,14,0.7687499999999998
expectile,0.0,variance,14,-0.2700534759358289
quantile,0.0,mean,0,0.9075
quantile,0.0,variance,0,-0.025773195876288565
quantile,0.0,mean,1,0.7437499999999999
quantile,0.0,variance,1,0.024358974358974293
quantile,0.0,mean,2,0.6173469387755102
quantile,0.0,variance,2,0.40757575757575754
quantile,0.0,mean,3,0.8086734693877553
quantile,0.0,variance,3,0.03826530612244907
quantile,0.0,mean,4,0.6441798941798944
quantile,0.0,variance,4,0.09117647058823543
quantile,0.0,mean,5,0.8730964467005077
quantile,0.0,variance,5,0.1941340782122906
quantile,0.0,mean,6,0.76125
quantile,0.0,variance,6,0.08559782608695639
quantile,0.0,mean,7,0.673469387755102
quantile,0.0,variance,7,0.2166666666666666
