rule,learn_noise_sd,seed,d1_delta,d2_delta
expectile,0.0,0,2.8654774596987274,0.9705068276573252
expectile,0.0,1,1.5525846980532059,0.8243440864831673
expectile,0.0,2,1.9382472670396087,1.7078089959992315
expectile,0.0,3,2.463255448895641,-0.3066991913653414
expectile,0.0,4,1.898439312649936,-0.5435609323241799
expectile,0.0,5,-0.03632105910062933,-1.0511487032899467
expectile,0.0,6,2.910587583088943,0.3944107469153
expectile,0.0,7,0.36879233003145195,-0.9079368143132989
expectile,0.0,8,-0.043199582103134126,-0.48800443870195487
expectile,0.0,9,0.006090805505580832,-2.41133818945805
expectile,0.0,10,-0.20682989398049045,-1.7981208248869667
expectile,0.0,11,2.1108235497407986,-0.755921586025492
expectile,0.0,12,0.7535508941226681,0.62132232077421
expectile,0.0,13,2.05063164063081,-0.1593898474296278
expectile,0.0,14,2.097970760021507,-0.8525773676384425
quantile,0.0,0,-0.9150656301753735,-0.5910763414557376
quantile,0.0,1,-2.301847504073793,-0.25876846433983225
quantile,0.0,2,-1.693145979085667,0.1232791599614469
quantile,0.0,3,-2.076260950325797,-1.1075014307336648
quantile,0.0,4,-2.3210065386527647,-1.9017610899919637
quantile,0.0,5,-2.2211936921081685,-1.936943507624174
quantile,0.0,6,-0.7202174763084654,-1.2678969529739685
quantile,0.0,7,-2.7145621669362807,-1.3181441146427897
quantile,0.0,8,-3.4109250500102286,-2.45376070242747
quantile,0.0,9,-4.213732110501412,-2.891902969060145
quantile,0.0,10,-3.2681491434725762,-2.6194433900015994
quantile,0.0,11,-1.6731235765813066,-1.8303426911376963
quantile,0.0,12,-2.9975406499274175,-0.5950516914829027
quantile,0.0,13,-2.0601723905115623,-1.560906432420964
quantile,0.0,14,-2.212149686842846,-2.0323468143873944
expectile,0.5,0,1.6744976490929027,-0.061314873790621505
expectile,0.5,1,0.7459957031788029,0.2769213657559799
expectile,0.5,2,1.0258853002314368,1.1172163725234245
expectile,0.5,3,2.9129286645727746,-0.2280433445960135
expectile,0.5,4,3.6357742546926914,1.2590517355500168
expectile,0.5,5,-1.024884902459858,-1.822786603384424
expectile,0.5,6,1.5918434020067957,-0.8296247039834661
expectile,0.5,7,0.1983294453202067,-1.1356210986021775
expectile,0.5,8,-0.5689865534584744,-1.3557540465022697
expectile,0.5,9,0.41687217464974147,-2.2821232038053383
expectile,0.5,10,-0.48075136168337096,-1.7322752888357424
expectile,0.5,11,1.0588171579050965,-1.3303834152897558
expectile,0.5,12,0.9129654933661957,0.9190637553937808
expectile,0.5,13,0.18667037902049444,-1.0547669173099834
expectile,0.5,14,1.8346955900029158,-1.0454058767221692
quantile,0.5,0,-1.6117485694131428,-1.317043229993037
quantile,0.5,1,-2.053572455003975,-0.2649585431149628
quantile,0.5,2,-1.616610019427335,0.05522399669692213
quantile,0.5,3,-1.063572550895957,-0.8593196463510431
quantile,0.5,4,-0.01750431084311188,-0.6429428742513759
quantile,0.5,5,-2.347213439967847,-2.4701787039052965
quantile,0.5,6,-0.8781808269657994,-1.6653223501042458
quantile,0.5,7,-2.259112539953094,-1.3093444154083391
quantile,0.5,8,-3.5293693760835874,-2.7209310424689175
quantile,0.5,9,-3.341592446915799,-2.934852808900361
quantile,0.5,10,-3.0734781773448,-2.547765554345464
quantile,0.5,11,-1.4620160197285585,-1.6873327349304539
quantile,0.5,12,-1.930302011970003,-0.3096001571472886
quantile,0.5,13,-2.599915657845788,-1.6042878707797366
quantile,0.5,14,-1.66034091539683,-2.2864750326727714
