rule,noise,seed,frac_opt,total_regret,frac_opt_last_half
expectile,0.0,0,0.548,1931.0702082819284,0.479
expectile,0.0,1,0.654,1399.9306522789382,0.641
expectile,0.0,2,0.636,1472.748665454456,0.64
expectile,0.0,3,0.6515,1350.200832768938,0.561
expectile,0.0,4,0.735,1094.8529855811555,0.736
expectile,0.0,5,0.578,1601.1606569653095,0.505
expectile,0.0,6,0.7015,1213.2829069218044,0.64
expectile,0.0,7,0.681,1248.6613493101659,0.721
expectile,0.0,8,0.5515,1799.4294613981574,0.546
expectile,0.0,9,0.6715,1331.3877074050135,0.688
expectile,0.0,10,0.5275,1927.5689654598102,0.402
expectile,0.0,11,0.6405,1482.6501895045876,0.614
expectile,0.0,12,0.665,1327.789850706177,0.549
expectile,0.0,13,0.6025,1625.9327418382743,0.576
expectile,0.0,14,0.708,1208.4397091805276,0.679
expectile,0.0,15,0.543,1801.0806814568718,0.51
expectile,0.0,16,0.686,1324.795658833894,0.638
expectile,0.0,17,0.676,1224.2833581945017,0.665
expectile,0.0,18,0.616,1584.535689624653,0.613
expectile,0.0,19,0.642,1421.0408583958217,0.576
expectile,0.0,20,0.6735,1334.5653080986472,0.619
expectile,0.0,21,0.5965,1447.822303296443,0.563
expectile,0.0,22,0.5025,2072.110742298923,0.423
expectile,0.0,23,0.5515,1825.5455237632113,0.483
expectile,0.0,24,0.5665,1759.473429169314,0.562
expectile,0.0,25,0.7385,952.8100373206404,0.727
expectile,0.0,26,0.6315,1499.5547218126953,0.554
expectile,0.0,27,0.502,1973.744605048582,0.431
expectile,0.0,28,0.5645,1738.5705384008777,0.451
expectile,0.0,29,0.6775,1311.8045882776555,0.638
quantile,0.0,0,0.49,2220.327515092198,0.397
quantile,0.0,1,0.481,2072.3472707651563,0.465
quantile,0.0,2,0.408,2417.062511284195,0.331
quantile,0.0,3,0.4775,2000.3452581400722,0.445
quantile,0.0,4,0.583,1683.8418932028453,0.595
quantile,0.0,5,0.457,1985.4738394802418,0.408
quantile,0.0,6,0.475,2055.878131703365,0.502
quantile,0.0,7,0.434,2222.303032676527,0.364
quantile,0.0,8,0.465,2204.640221951783,0.394
quantile,0.0,9,0.567,1782.5038555981537,0.545
quantile,0.0,10,0.4865,2059.1219636819615,0.5
quantile,0.0,11,0.4345,2274.88973824615,0.387
quantile,0.0,12,0.53,1885.3036804312796,0.5
quantile,0.0,13,0.5205,1937.489606099604,0.452
quantile,0.0,14,0.4705,2202.787473709013,0.435
quantile,0.0,15,0.532,1928.299978568166,0.624
quantile,0.0,16,0.406,2423.0670666428528,0.317
quantile,0.0,17,0.431,2272.741142546023,0.418
quantile,0.0,18,0.4745,2174.604469548802,0.514
quantile,0.0,19,0.5345,1918.8075125252537,0.456
quantile,0.0,20,0.536,1926.1441896134422,0.536
quantile,0.0,21,0.496,1874.7206374389843,0.559
quantile,0.0,22,0.4165,2258.4747735779247,0.352
