rule,noise,seed,frac_opt,total_regret,mean_track_err
expectile,0.0,0,0.2615,2624.5323202082795,1.2171114950595368
expectile,0.0,1,0.226,2786.837969617115,1.221307655558961
expectile,0.0,2,0.2495,2774.380987131194,1.217682863253146
expectile,0.0,3,0.2755,2436.3166752999496,1.2112987969391267
expectile,0.0,4,0.3355,2358.4127747140155,1.1916967783366512
expectile,0.0,5,0.2675,2453.9654883922285,1.2119619421912702
expectile,0.0,6,0.2595,2587.68030808884,1.2106363960519233
expectile,0.0,7,0.2615,2601.229998196689,1.2147922255877843
expectile,0.0,8,0.2845,2447.9261865423878,1.2279061792688195
expectile,0.0,9,0.232,2734.052790858169,1.2197309397815739
expectile,0.0,10,0.2435,2725.1251065032607,1.2253092906695815
expectile,0.0,11,0.2965,2596.03353147471,1.1992985676701524
expectile,0.0,12,0.256,2690.7514633516394,1.2164017365414952
expectile,0.0,13,0.281,2413.447374227339,1.2150560070833671
expectile,0.0,14,0.28,2453.475332571672,1.2132938950473657
expectile,0.0,15,0.2665,2656.916000642567,1.221612269540698
expectile,0.0,16,0.213,2724.4550753146927,1.2309835779170586
expectile,0.0,17,0.2985,2417.075843427456,1.1972177676438764
expectile,0.0,18,0.313,2521.6694392807667,1.2007458598046823
expectile,0.0,19,0.3825,2148.9179055429254,1.1942621353247607
expectile,0.0,20,0.227,2814.4905266053465,1.219235770359745
expectile,0.0,21,0.266,2613.280218465101,1.2097180566965409
expectile,0.0,22,0.2155,2684.3565572181315,1.233293113278676
expectile,0.0,23,0.134,2989.2274385126543,1.2486168291170348
expectile,0.0,24,0.263,2613.8513749453814,1.2169549176905794
expectile,0.0,25,0.2995,2364.1150342687097,1.2093221809117944
expectile,0.0,26,0.298,2452.911262235586,1.1942043471330317
expectile,0.0,27,0.184,2832.2665730550943,1.2350719816781097
expectile,0.0,28,0.248,2506.868613707055,1.2134892473009076
expectile,0.0,29,0.2165,2667.0585648275137,1.2169573465806043
quantile,0.0,0,0.281,2764.546335193866,1.2358190794233759
quantile,0.0,1,0.3255,2717.5600566020744,1.2273468878354474
quantile,0.0,2,0.2355,2998.4091143702462,1.2482904091684763
quantile,0.0,3,0.2495,2767.000762036975,1.2449839875316142
quantile,0.0,4,0.3175,2607.3238929986146,1.2287521140545201
quantile,0.0,5,0.2985,2719.7878564094517,1.2455730857693421
quantile,0.0,6,0.26,2732.9595904940693,1.2352659616657544
quantile,0.0,7,0.2385,2895.653194479307,1.2385486567255959
quantile,0.0,8,0.282,2693.8768858364156,1.2416151446576063
quantile,0.0,9,0.2,3020.9712375299646,1.2464814570313747
quantile,0.0,10,0.2605,2924.774667847628,1.2417194707908286
quantile,0.0,11,0.3105,2778.5602349617466,1.2438612433269336
quantile,0.0,12,0.156,3207.402694069801,1.2627528160508545
quantile,0.0,13,0.273,2752.2978451248973,1.2480528275815481
quantile,0.0,14,0.2995,2678.159621894957,1.2313316190167751
quantile,0.0,15,0.2495,2915.9900530345767,1.2469278815050282
quantile,0.0,16,0.2365,2875.2343482183105,1.2429801535659386
quantile,0.0,17,0.3395,2470.0096806678694,1.2190588062973693
quantile,0.0,18,0.201,3085.516227559905,1.2487109582218328
quantile,0.0,19,0.346,2532.275351588916,1.2391773478802188
quantile,0.0,20,0.3025,2743.075323792915,1.2310287773607573
quantile,0.0,21,0.2935,2683.0773160115027,1.2305586320872501
quantile,0.0,22,0.2545,2892.0270313093147,1.2470348688740651
quantile,0.0,23,0.3025,2896.279805108011,1.247732119138549
quantile,0.0,24,0.2705,2847.8722830321067,1.2484088613670101
quantile,0.0,25,0.2875,2672.6764113149375,1.235244917692504
quantile,0.0,26,0.308,2709.1229341561925,1.2423266059996234
quantile,0.0,27,0.2535,2870.6941898443984,1.2412929208567534
quantile,0.0,28,0.2535,2797.803360296705,1.2327094286977085
quantile,0.0,29,0.2065,2909.7171417199543,1.2406178226772222
expectile,1.0,0,0.199,2775.42078308581,1.2279393127161935
expectile,1.0,1,0.2945,2467.1162524101655,1.1928315345739355
expectile,1.0,2,0.2485,2853.6806863861857,1.2199715676866403
expectile,1.0,3,0.3905,2280.003233561315,1.1877927976363536
expectile,1.0,4,0.296,2663.2158268481317,1.2151512442447023
expectile,1.0,5,0.226,2820.1386296466344,1.2303378571748513
expectile,1.0,6,0.2945,2571.8436592230746,1.211025544864347
expectile,1.0,7,0.293,2524.69714759667,1.2037223221937048
expectile,1.0,8,0.343,2246.6847203009074,1.1937290622669088
expectile,1.0,9,0.27,2574.398161492491,1.2092563294921108
expectile,1.0,10,0.255,2603.037702479445,1.2163572411497634
expectile,1.0,11,0.345,2179.5962386074016,1.1912743983797955
expectile,1.0,12,0.2555,2555.8520080789,1.2214203414254274
expectile,1.0,13,0.235,2705.6003778376926,1.22472801601118
expectile,1.0,14,0.276,2556.250342455958,1.2132495687602267
expectile,1.0,15,0.23,2744.046339098528,1.2251767362784107
expectile,1.0,16,0.335,2331.1806256675172,1.1896773236837772
expectile,1.0,17,0.353,2225.441212183973,1.208260672320563
expectile,1.0,18,0.3185,2512.3767824547704,1.19421827627235
expectile,1.0,19,0.268,2544.708783402509,1.217266859706842
expectile,1.0,20,0.2685,2767.0602711706697,1.2041575959445099
expectile,1.0,21,0.282,2522.791349179688,1.2190096310192404
expectile,1.0,22,0.2555,2657.5812618970417,1.2319782911301664
expectile,1.0,23,0.2995,2518.7950932943804,1.1988156032468367
expectile,1.0,24,0.244,2532.563405406202,1.2261702044497687
expectile,1.0,25,0.2905,2399.401606056519,1.2124380758449087
expectile,1.0,26,0.267,2582.5007386508396,1.207356641906424
expectile,1.0,27,0.269,2736.3725622661896,1.2227397234637087
expectile,1.0,28,0.28,2596.352866616161,1.207619127523341
expectile,1.0,29,0.258,2519.2542473067597,1.2132841184398564
quantile,1.0,0,0.227,2999.8292298062584,1.2413949314740733
quantile,1.0,1,0.2325,2992.7588906296187,1.2465660841170787
quantile,1.0,2,0.242,3064.724321917146,1.251379928138254
quantile,1.0,3,0.337,2774.978202138633,1.2512280681919339
quantile,1.0,4,0.255,3050.343454959034,1.2507723621823095
quantile,1.0,5,0.296,2970.264760557385,1.2415500541991569
quantile,1.0,6,0.2685,3017.1599562975966,1.254999272208096
quantile,1.0,7,0.2625,2829.733451786342,1.2407548288619776
quantile,1.0,8,0.253,2862.0844438211166,1.2466005086637548
quantile,1.0,9,0.319,2708.625185700033,1.2331655161427915
quantile,1.0,10,0.2625,2876.862574355512,1.2448688247503896
quantile,1.0,11,0.3225,2573.375069438932,1.2437136970480014
quantile,1.0,12,0.2865,2930.767833965632,1.2539106412601406
quantile,1.0,13,0.258,2956.3117227818557,1.2472937277401348
quantile,1.0,14,0.304,2858.554703373392,1.2380583103517568
quantile,1.0,15,0.2485,3005.23892550443,1.2494131757137088
quantile,1.0,16,0.2665,2829.7251804497873,1.2368620974628717
quantile,1.0,17,0.2985,2734.524546866828,1.2524610260732925
