rule,noise,seed,frac_optimal,survived,time_to_optimal,min_budget
expectile,0.0,0,0.836,1,67,30.2
expectile,0.0,1,0.85,1,43,30.2
expectile,0.0,2,0.916,1,16,30.2
expectile,0.0,3,0.012,1,500,30.2
expectile,0.0,4,0.922,1,13,30.2
expectile,0.0,5,0.204,1,406,28.799999999999997
expectile,0.0,6,0.02,1,500,30.2
expectile,0.0,7,0.372,1,332,30.2
expectile,0.0,8,0.04,1,500,30.2
expectile,0.0,9,0.022,1,500,29.599999999999994
expectile,0.0,10,0.156,1,454,30.2
expectile,0.0,11,0.02,1,500,28.599999999999998
expectile,0.0,12,0.902,1,30,30.2
expectile,0.0,13,0.786,1,80,30.2
expectile,0.0,14,0.716,1,136,30.2
expectile,0.0,15,0.914,1,21,30.2
expectile,0.0,16,0.026,1,500,26.599999999999998
expectile,0.0,17,0.91,1,26,30.2
expectile,0.0,18,0.818,1,69,30.2
expectile,0.0,19,0.012,1,500,28.599999999999998
expectile,0.0,20,0.242,1,389,30.2
expectile,0.0,21,0.236,1,409,30.2
expectile,0.0,22,0.134,1,372,30.2
expectile,0.0,23,0.02,1,500,30.2
expectile,0.0,24,0.19,1,416,30.2
expectile,0.0,25,0.046,1,500,30.2
expectile,0.0,26,0.922,1,12,30.2
expectile,0.0,27,0.554,1,218,28.999999999999982
expectile,0.0,28,0.742,1,136,30.2
expectile,0.0,29,0.89,1,64,29.8
quantile,0.0,0,0.018,1,500,30.2
quantile,0.0,1,0.024,1,500,30.2
quantile,0.0,2,0.03,1,500,30.2
quantile,0.0,3,0.012,1,500,30.2
quantile,0.0,4,0.026,1,500,30.2
quantile,0.0,5,0.02,1,500,28.799999999999997
quantile,0.0,6,0.022,1,500,30.2
quantile,0.0,7,0.026,1,500,30.2
quantile,0.0,8,0.038,1,500,30.2
quantile,0.0,9,0.022,1,500,29.599999999999994
quantile,0.0,10,0.024,1,500,30.2
quantile,0.0,11,0.02,1,500,28.599999999999998
quantile,0.0,12,0.024,1,500,30.2
quantile,0.0,13,0.026,1,500,30.2
quantile,0.0,14,0.026,1,500,30.2
quantile,0.0,15,0.028,1,500,30.2
quantile,0.0,16,0.026,1,500,26.599999999999998
quantile,0.0,17,0.028,1,500,30.2
quantile,0.0,18,0.018,1,500,30.2
quantile,0.0,19,0.012,1,500,28.599999999999998
quantile,0.0,20,0.03,1,500,30.2
quantile,0.0,21,0.03,1,500,30.2
quantile,0.0,22,0.038,1,500,30.2
quantile,0.0,23,0.02,1,500,30.2
quantile,0.0,24,0.016,1,500,30.2
quantile,0.0,25,0.03,1,500,30.2
quantile,0.0,26,0.022,1,500,30.2
quantile,0.0,27,0.016,1,500,28.999999999999982
quantile,0.0,28,0.022,1,500,30.2
quantile,0.0,29,0.02,1,500,29.8
expectile,1.0,0,0.886,1,39,26.0
expectile,1.0,1,0.908,1,34,30.2
expectile,1.0,2,0.034,1,500,28.0
expectile,1.0,3,0.894,1,23,25.000000000000004
expectile,1.0,4,0.238,1,402,30.2
expectile,1.0,5,0.846,1,52,30.2
expectile,1.0,6,0.834,1,89,30.2
expectile,1.0,7,0.26,1,381,28.2
expectile,1.0,8,0.586,1,224,27.6
expectile,1.0,9,0.036,1,141,26.600000000000005
expectile,1.0,10,0.044,1,500,22.999999999999975
expectile,1.0,11,0.034,1,500,30.2
expectile,1.0,12,0.816,1,69,28.599999999999998
expectile,1.0,13,0.922,1,35,30.2
expectile,1.0,14,0.26,1,402,28.0
expectile,1.0,15,0.428,1,293,26.4
expectile,1.0,16,0.41,1,218,25.000000000000004
expectile,1.0,17,0.904,1,22,28.2
expectile,1.0,18,0.35,1,330,18.60000000000002
expectile,1.0,19,0.032,1,500,28.4
expectile,1.0,20,0.766,1,92,25.999999999999993
expectile,1.0,21,0.666,1,157,30.2
expectile,1.0,22,0.89,1,28,24.20000000000001
expectile,1.0,23,0.908,1,21,30.2
expectile,1.0,24,0.762,1,103,30.199999999999996
expectile,1.0,25,0.9,1,27,28.200000000000006
expectile,1.0,26,0.944,1,11,30.2
expectile,1.0,27,0.022,1,500,24.99999999999999
expectile,1.0,28,0.888,1,34,27.999999999999993
expectile,1.0,29,0.936,1,16,29.8
quantile,1.0,0,0.918,1,18,30.2
quantile,1.0,1,0.018,1,500,30.2
quantile,1.0,2,0.024,1,500,28.0
quantile,1.0,3,0.024,1,500,28.0
quantile,1.0,4,0.014,1,500,30.2
quantile,1.0,5,0.028,1,500,28.200000000000006
quantile,1.0,6,0.02,1,500,30.2
quantile,1.0,7,0.064,1,500,30.2
quantile,1.0,8,0.032,1,500,24.999999999999996
quantile,1.0,9,0.032,1,500,28.599999999999998
quantile,1.0,10,0.13,1,19,26.000000000000004
quantile,1.0,11,0.04,1,500,10.000000000000021
quantile,1.0,12,0.912,1,17,30.2
quantile,1.0,13,0.92,1,35,30.2
quantile,1.0,14,0.548,1,230,25.79999999999999
quantile,1.0,15,0.032,1,500,26.0
quantile,1.0,16,0.02,1,500,26.0
quantile,1.0,17,0.026,1,500,30.2
quantile,1.0,18,0.806,1,87,26.2
quantile,1.0,19,0.038,1,71,18.00000000000002
quantile,1.0,20,0.064,1,500,17.000000000000018
quantile,1.0,21,0.022,1,500,30.2
quantile,1.0,22,0.028,1,500,24.00000000000001
quantile,1.0,23,0.088,1,22,23.8
quantile,1.0,24,0.04,1,51,17.000000000000018
quantile,1.0,25,0.046,1,500,18.400000000000006
quantile,1.0,26,0.196,1,11,30.2
quantile,1.0,27,0.022,1,500,17.000000000000018
quantile,1.0,28,0.024,1,500,27.999999999999993
quantile,1.0,29,0.054,1,355,14.200000000000042
expectile,2.0,0,0.832,1,75,27.8
expectile,2.0,1,0.722,1,146,30.2
expectile,2.0,2,0.9,1,55,19.60000000000001
expectile,2.0,3,0.89,1,27,25.000000000000004
expectile,2.0,4,0.026,1,500,23.600000000000016
expectile,2.0,5,0.032,1,500,25.000000000000004
expectile,2.0,6,0.796,1,89,30.2
expectile,2.0,7,0.874,1,57,28.2
expectile,2.0,8,0.696,1,142,30.2
expectile,2.0,9,0.814,1,85,21.20000000000004
expectile,2.0,10,0.052,1,500,23.599999999999984
expectile,2.0,11,0.044,1,500,22.800000000000004
expectile,2.0,12,0.846,1,54,28.599999999999998
expectile,2.0,13,0.922,1,35,30.2
expectile,2.0,14,0.426,1,292,28.0
expectile,2.0,15,0.048,1,500,8.200000000000063
expectile,2.0,16,0.894,1,47,23.800000000000008
expectile,2.0,17,0.79,1,114,24.6
expectile,2.0,18,0.834,1,65,15.200000000000017
expectile,2.0,19,0.176,1,434,28.4
expectile,2.0,20,0.848,1,64,25.599999999999994
expectile,2.0,21,0.708,1,151,30.2
expectile,2.0,22,0.89,1,28,24.20000000000001
expectile,2.0,23,0.908,1,21,30.2
expectile,2.0,24,0.842,1,59,30.199999999999996
expectile,2.0,25,0.74,1,112,24.000000000000007
expectile,2.0,26,0.944,1,11,30.2
expectile,2.0,27,0.886,1,33,22.0
expectile,2.0,28,0.062,1,500,21.000000000000004
expectile,2.0,29,0.936,1,16,29.8
quantile,2.0,0,0.928,1,12,24.599999999999998
quantile,2.0,1,0.11636363636363636,0,500,-0.9999999999999867
quantile,2.0,2,0.716,1,140,24.0
quantile,2.0,3,0.032,1,500,23.6
quantile,2.0,4,0.718,1,11,30.2
quantile,2.0,5,0.874,1,33,30.2
quantile,2.0,6,0.378,1,335,30.2
quantile,2.0,7,0.396,1,211,30.2
quantile,2.0,8,0.062,1,500,30.2
quantile,2.0,9,0.852,1,84,28.599999999999998
quantile,2.0,10,0.904,1,19,26.000000000000004
quantile,2.0,11,0.052,1,500,11.800000000000022
quantile,2.0,12,0.912,1,17,30.2
quantile,2.0,13,0.922,1,35,30.2
quantile,2.0,14,0.058,1,500,11.400000000000059
quantile,2.0,15,0.912,1,16,26.4
quantile,2.0,16,0.81,1,102,26.0
quantile,2.0,17,0.838,1,107,30.2
quantile,2.0,18,0.906,1,30,26.2
quantile,2.0,19,0.344,1,339,12.000000000000004
quantile,2.0,20,0.786,1,72,26.199999999999992
quantile,2.0,21,0.022,1,500,30.2
quantile,2.0,22,0.894,1,27,18.000000000000004
quantile,2.0,23,0.08,1,22,23.8
quantile,2.0,24,0.118,1,500,4.000000000000007
quantile,2.0,25,0.816,1,75,24.60000000000007
quantile,2.0,26,0.158,1,11,30.2
quantile,2.0,27,0.024,1,500,23.799999999999994
quantile,2.0,28,0.808,1,98,27.999999999999993
quantile,2.0,29,0.47,1,258,6.000000000000087
